Removed Pin From Net: NetName=5V Pin=C25-1
Removed Pin From Net: NetName=GND Pin=J1-1
Removed Pin From Net: NetName=3.3V Pin=J1-2
Removed Pin From Net: NetName=OLED_SCL Pin=J1-3
Removed Pin From Net: NetName=OLED_SDA Pin=J1-4
Removed Pin From Net: NetName=LED1 Pin=R1-1
Removed Pin From Net: NetName=NetLED1_2 Pin=R1-2
Removed Pin From Net: NetName=LED2 Pin=R2-1
Removed Pin From Net: NetName=NetLED2_2 Pin=R2-2
Removed Pin From Net: NetName=TCK/SWDCLK Pin=U1-8
Removed Pin From Net: NetName=TCK/SWDCLK Pin=U1-50
Removed Pin From Net: NetName=Data0 Pin=U9-4
Change Component Footprint: Designator=CN1 Old Footprint=PinHeader_1x06_P2.54mm_Vertical New Footprint=Romi-header6
Change Component Footprint: Designator=CN2 Old Footprint=PinHeader_2x05_P2.54mm_Vertical New Footprint=Romi_Header5x2
Change Component Footprint: Designator=CN3 Old Footprint=PinHeader_2x08_P2.54mm_Vertical New Footprint=Romi_header8x2
Change Component Footprint: Designator=CN18 Old Footprint=PinSocket_2x20_P2.54mm_Horizontal New Footprint=Raspberry_Pi_2_3
Change Component Footprint: Designator=R1 Old Footprint=RESC0402(1005)_L New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R2 Old Footprint=RESC0402(1005)_L New Footprint=RESC0603(1608)_N
Change Component Comment : Designator=CN1 Old Comment=PinHeader_1x06_P2.54mm_Vertical New Comment=Header 6
Change Component Comment : Designator=CN2 Old Comment=PinHeader_2x05_P2.54mm_Vertical New Comment=Romi-Header 5X2
Change Component Comment : Designator=CN3 Old Comment=PinHeader_2x08_P2.54mm_Vertical New Comment=Romi_Header 8X2
Change Component Comment : Designator=CN18 Old Comment=Raspberry_Pi_2_3 New Comment=Header 20X2
Change Managed Component Library Link : Designator=C14 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C15 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C16 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C17 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C25 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C26 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C27 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C28 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C29 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C30 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C31 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C32 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C33 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C34 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change component parameters: Designator = "CN18" ("CN18"); Footprint = "PinSocket_2x20_P2.54mm_Horizontal"; UniqueID = "\WNUSQSGY" ("\WNUSQSGY")
Added Component: Designator=C13(CAPC0603(1608)_L)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "4000=0.00414, 8000=0.00378, 12000=0.0036, 28000=0.00342, 100000=0.00248 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "2360000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "399-1096-2-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.034" (0.87mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=CN17(OLED_0.96_I2C)
Added Component: Designator=Q2(SOT23)
Add component (AddParameter): Name = "Category"; Value = "Discrete Semiconductor Products"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.diodes.com/assets/Datasheets/ds30896.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/ds30896.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "380mA (Ta)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "5V, 10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "FET Feature"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "FET Type"; Value = "N-Channel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "2N7002K-7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation (Max)"; Value = "370mW (Ta)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.25, 10=0.23, 100=0.1286, 500=0.06888, 1000=0.04683 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "2 Ohm @ 500mA, 10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "255096"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "LCSC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23-3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2N7002K-7DICT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "C8545"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2.5V @ 1mA"; VariantName = "[No Variations]"
Added Component: Designator=R17(RESC0603(1608)_L)
Add component (AddParameter): Name = "Category"; Value = "Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF1002V+7+WW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF1002V+7+WW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "ERJ-3EKF1002V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 50=0.015, 100=0.0114, 250=0.00844, 500=0.00624, 1000=0.00416, 2500=0.00351 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance (Ohms)"; Value = "10k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "5046430"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P10.0KHCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Added Component: Designator=R18(RESC0603(1608)_L)
Add component (AddParameter): Name = "Category"; Value = "Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF1002V+7+WW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF1002V+7+WW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "ERJ-3EKF1002V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 50=0.015, 100=0.0114, 250=0.00844, 500=0.00624, 1000=0.00416, 2500=0.00351 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance (Ohms)"; Value = "10k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "5046430"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P10.0KHCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Added Pin To Net: NetName=3.3V Pin=C8-1
Added Pin To Net: NetName=GND Pin=C8-2
Added Pin To Net: NetName=3.3V Pin=C9-1
Added Pin To Net: NetName=GND Pin=C9-2
Added Pin To Net: NetName=3.3V Pin=C10-1
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=3.3V Pin=C11-1
Added Pin To Net: NetName=GND Pin=C11-2
Added Pin To Net: NetName=3.3V Pin=C12-1
Added Pin To Net: NetName=GND Pin=C12-2
Added Pin To Net: NetName=3.3V Pin=C13-1
Added Pin To Net: NetName=GND Pin=C13-2
Added Pin To Net: NetName=3.3V Pin=C25-1
Added Pin To Net: NetName=GND Pin=CN17-1
Added Pin To Net: NetName=3.3V Pin=CN17-2
Added Pin To Net: NetName=OLED_SCL Pin=CN17-3
Added Pin To Net: NetName=OLED_SDA Pin=CN17-4
Added Pin To Net: NetName=3.3V Pin=Q2-1
Added Pin To Net: NetName=NetLED1_2 Pin=R1-1
Added Pin To Net: NetName=LED1 Pin=R1-2
Added Pin To Net: NetName=NetLED2_2 Pin=R2-1
Added Pin To Net: NetName=LED2 Pin=R2-2
Added Pin To Net: NetName=3.3V Pin=R17-2
Added Pin To Net: NetName=5V Pin=R18-2
Change Net Name : Old Net Name=NeoPixel New Net Name=NeoPixel1
Added Pin To Net: NetName=NeoPixel2 Pin=Q2-2
Added Pin To Net: NetName=NeoPixel2 Pin=R17-1
Added Net: Name=NeoPixel2
Added Pin To Net: NetName=NetQ2_3 Pin=Q2-3
Added Pin To Net: NetName=NetQ2_3 Pin=R18-1
Added Pin To Net: NetName=NetQ2_3 Pin=U9-4
Added Net: Name=NetQ2_3
